ID,SHOP,GENDER,AGE,M.S.,NCHILD,INCOME,S.E.G.,MAINSHOP,BUYFOOD,AMOUNT,PAYBY,REGULAR,VISITS
271,5,1,29,3,1,8448,5,1,1,36.84000015,1,1,2
272,1,0,23,2,1,,4,1,1,33.22000122,1,1,4
273,5,0,44,3,0,16944,4,0,1,34.06000137,1,1,2
274,2,1,68,4,2,8940,4,1,1,32.86000061,1,1,2
275,5,1,50,2,1,21564,3,0,1,13.57999992,1,1,3
276,2,1,29,2,2,14496,4,1,1,63.88000107,1,1,2
277,5,0,28,1,1,21192,3,1,1,33.58000183,1,1,2
278,5,0,19,2,1,11436,4,1,1,47.65000153,1,1,3
279,4,0,25,1,1,11532,4,1,1,35.34999847,1,0,0
280,2,0,26,3,5,14976,3,1,1,76.81999969,2,1,2
281,5,0,33,1,1,13272,4,1,1,46.06999969,1,1,2
282,2,0,34,2,0,20076,3,1,1,39.33000183,1,1,3
283,5,0,29,2,0,29880,2,0,1,40.86000061,2,1,1
284,5,0,35,1,2,10140,5,1,1,44.99000168,1,1,3
285,2,1,,2,4,11424,5,1,1,29,1,0,0
286,3,0,29,2,3,19188,3,1,1,62.22999954,1,1,2
287,5,0,52,2,1,29748,2,1,1,63.36000061,2,1,3
288,5,0,54,4,2,,3,1,1,46.11999893,1,1,2
289,2,0,22,2,2,12048,4,1,1,55.66999817,1,1,4
290,4,0,33,2,4,12492,4,1,1,48.93999863,1,1,2
291,2,0,23,2,1,13608,4,1,1,28.12000084,1,1,2
292,2,0,30,1,1,27432,2,1,1,49.27999878,1,1,2
293,4,0,23,2,1,12348,4,1,1,55.25,1,1,2
294,3,0,21,2,2,10308,4,1,1,56.36999893,1,1,2
295,2,0,31,1,2,10932,5,1,1,30.26000023,1,1,1
296,4,0,19,2,2,13008,3,1,1,49.20000076,1,1,1
297,5,0,40,2,1,18456,3,0,1,14.11999989,2,1,3
298,3,0,35,2,2,13944,4,1,1,54.93000031,1,1,2
299,3,0,43,1,3,12756,3,1,1,35.95000076,1,1,2
300,4,0,32,1,0,12984,4,0,1,29.12000084,1,1,2
301,4,0,29,2,0,18864,3,1,1,52.72999954,2,1,2
302,4,0,43,2,0,25248,3,1,1,43.59000015,1,1,2
303,2,0,23,1,1,6288,5,1,1,33.79999924,1,0,0
304,4,1,26,2,1,18804,3,1,1,79.66000366,1,1,2
305,1,0,43,2,2,19620,3,1,1,79.30000305,1,1,1
306,4,0,63,2,1,,4,1,1,72.45999908,1,1,1
307,3,1,22,2,3,12168,4,1,1,41.72000122,1,1,3
308,4,0,22,2,1,11724,4,1,1,84.01000214,3,1,2
309,2,1,,1,0,20400,3,1,1,59.86000061,2,1,1
310,4,0,23,3,1,7800,5,1,0,17.29000092,1,1,2
311,5,0,18,1,0,18228,3,1,1,41.88000107,1,1,2
312,3,0,23,2,2,16068,4,1,0,68.16000366,1,1,1
313,5,0,36,2,2,16272,4,1,1,57.77999878,1,1,2
314,5,0,40,2,4,14496,5,1,0,66.44999695,1,1,2
315,2,1,38,2,1,10692,5,1,1,37.36999893,1,1,2
316,4,0,16,1,0,,5,1,1,21.07999992,1,1,2
317,1,0,17,1,0,9372,5,1,1,42.95000076,1,1,3
318,4,0,21,2,2,13080,4,1,1,76.40000153,1,1,3
319,3,0,30,4,0,10800,5,1,1,26.82999992,1,1,1
320,3,1,23,1,0,19836,3,1,1,35.54999924,2,1,2
